,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG▼,OBP,SLG,OPS
25,Chicago White Sox,AL,-,614,71,155,28,4,13,67,49,118,8,4,.252,.309,.375,.684
18,Boston Red Sox,AL,-,629,78,164,36,4,16,75,54,132,11,3,.261,.318,.407,.725
17,Toronto Blue Jays,AL,-,618,108,162,39,2,34,106,73,136,13,4,.262,.344,.497,.840
16,Houston Astros,AL,-,604,82,159,24,3,26,78,56,138,20,10,.263,.327,.442,.769
14,Minnesota Twins,AL,-,625,92,166,39,1,27,89,56,142,10,7,.266,.327,.461,.787
22,Oakland Athletics,AL,-,625,81,161,29,4,17,79,60,107,15,3,.258,.323,.398,.721
23,Cleveland Indians,AL,-,607,68,156,35,4,18,62,57,126,17,7,.257,.323,.417,.740
19,Baltimore Orioles,AL,-,625,93,162,32,2,30,90,59,157,6,7,.259,.328,.461,.789
20,Tampa Bay Rays,AL,-,608,76,157,36,3,19,72,49,131,14,8,.258,.319,.421,.740
27,Los Angeles Angels,AL,-,618,88,153,25,4,33,84,42,136,3,3,.248,.300,.461,.761
7,Seattle Mariners,AL,-,645,91,181,39,0,27,88,44,148,7,8,.281,.325,.467,.791
5,New York Yankees,AL,-,647,125,188,37,3,31,123,61,147,10,2,.291,.352,.501,.853
4,Texas Rangers,AL,-,648,120,196,37,7,21,114,80,130,15,6,.302,.382,.478,.860
3,Detroit Tigers,AL,-,642,102,196,36,5,23,98,52,130,11,8,.305,.360,.484,.845
2,Kansas City Royals,AL,-,665,106,206,44,2,20,104,37,115,11,5,.310,.355,.472,.827
24,Los Angeles Dodgers,NL,-,605,72,154,34,6,25,69,52,159,11,8,.255,.323,.455,.778
28,San Diego Padres,NL,-,612,86,151,25,3,21,85,53,142,11,5,.247,.310,.400,.710
21,St. Louis Cardinals,NL,-,616,80,159,40,6,13,75,59,137,7,6,.258,.329,.406,.735
26,New York Mets,NL,-,629,74,156,36,1,24,70,51,150,3,5,.248,.311,.423,.734
1,Colorado Rockies,NL,-,659,120,205,39,7,32,116,51,123,8,7,.311,.360,.537,.897
15,Pittsburgh Pirates,NL,-,634,86,168,34,4,14,80,47,138,19,10,.265,.329,.397,.726
13,Atlanta Braves,NL,-,611,75,164,37,0,12,73,56,101,11,8,.268,.335,.388,.723
12,Washington Nationals,NL,-,633,89,171,38,1,24,85,59,151,5,3,.270,.333,.447,.780
11,Cincinnati Reds,NL,-,635,96,172,40,4,25,95,62,133,21,6,.271,.340,.465,.804
10,San Francisco Giants,NL,-,629,72,171,25,5,15,69,36,124,15,3,.272,.314,.399,.713
9,Milwaukee Brewers,NL,-,638,102,177,30,7,27,97,51,141,20,8,.277,.330,.473,.803
8,Miami Marlins,NL,-,641,88,178,29,2,18,83,38,134,28,10,.278,.321,.413,.734
6,Arizona Diamondbacks,NL,-,640,84,183,36,5,16,80,59,128,25,11,.286,.347,.433,.780
29,Philadelphia Phillies,NL,-,610,63,149,21,4,8,55,44,128,24,4,.244,.295,.331,.626
30,Chicago Cubs,NL,-,596,88,138,26,6,19,84,86,168,14,7,.232,.336,.391,.727
