,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS▼
7," Cooper, G",NYY,1B,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.822
9," Castro, S",NYY,2B,112,443,66,133,18,1,16,63,23,93,2,0,.300,.338,.454,.792
18," Torreyes, R",NYY,2B,108,315,35,92,15,1,3,36,11,43,2,0,.292,.314,.375,.689
8," Gregorius, D",NYY,SS,136,534,73,153,27,0,25,87,25,70,3,1,.287,.318,.478,.796
4," Judge, A",NYY,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049
5," Sanchez, G",NYY,C,122,471,79,131,20,0,33,90,40,120,2,1,.278,.345,.531,.876
12," Headley, C",NYY,3B,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758
6," Hicks, A",NYY,CF,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847
13," Ellsbury, J",NYY,CF,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750
11," Gardner, B",NYY,LF,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778
14," Holliday, M",NYY,DH,105,373,50,86,18,0,19,64,46,114,1,0,.231,.316,.432,.748
15," Frazier, C",NYY,LF,39,134,16,31,9,4,4,17,7,43,1,0,.231,.268,.448,.715
17," Austin, T",NYY,1B,20,40,4,9,2,0,2,8,4,17,0,0,.225,.283,.425,.708
10," Frazier, T",NYY,3B,66,194,33,43,4,1,11,32,35,54,0,0,.222,.365,.423,.788
21," Romine, A",NYY,C,80,229,19,50,9,1,2,21,16,57,0,0,.218,.272,.293,.565
20," Carter, C",NYY,1B,62,184,20,37,5,1,8,26,20,76,0,0,.201,.284,.370,.653
16," Bird, G",NYY,1B,48,147,20,28,7,0,9,28,19,42,0,0,.190,.288,.422,.710
23," Wade, T",NYY,SS,30,58,7,9,4,0,0,2,5,19,1,1,.155,.222,.224,.446
24," Refsnyder, R",NYY,1B,20,37,3,5,1,1,0,0,3,8,2,0,.135,.200,.216,.416
